dag,week,jaar,tijd,gem_intensiteit
Saturday,38,2019,17:00,1157.8387096774193
Saturday,38,2019,18:00,1020.8709677419355
Saturday,38,2019,19:00,890.9032258064516
Saturday,38,2019,20:00,825.516129032258
Saturday,38,2019,21:00,700.516129032258
Saturday,38,2019,22:00,675.8709677419355
Saturday,38,2019,23:00,597.6129032258065
Saturday,38,2021,00:00,369.8709677419355
Saturday,38,2021,01:00,211.8709677419355
Saturday,38,2021,02:00,139.19354838709677
Saturday,38,2021,03:00,105.45161290322581
Saturday,38,2021,04:00,95.45161290322581
Saturday,38,2021,05:00,127.6774193548387
Saturday,38,2021,06:00,237.51612903225808
Saturday,38,2021,07:00,368.61290322580646
Saturday,38,2021,08:00,603.5806451612904
Saturday,38,2021,09:00,899.8709677419355
Saturday,38,2021,10:00,1088.1290322580646
Saturday,38,2021,11:00,1193.258064516129
Saturday,38,2021,12:00,1294.7096774193549
Saturday,38,2021,13:00,1350.9032258064517
Saturday,38,2021,14:00,1302.4516129032259
Saturday,38,2021,15:00,1254.6451612903227
Saturday,38,2021,16:00,1332.9354838709678
Saturday,38,2021,17:00,1283.2903225806451
Saturday,38,2021,18:00,1030.8709677419354
Saturday,38,2021,19:00,863.3225806451613
Saturday,38,2021,20:00,794.5806451612904
Saturday,38,2021,21:00,829.8387096774194
Saturday,38,2021,22:00,674.2258064516129
Saturday,38,2021,23:00,613.8387096774194
Saturday,38,2022,00:00,297.7037037037037
Saturday,38,2022,01:00,194.77777777777777
Saturday,38,2022,02:00,129.11111111111111
Saturday,38,2022,03:00,108.51851851851852
Saturday,38,2022,04:00,103.62962962962963
Saturday,38,2022,05:00,146.62962962962962
Saturday,38,2022,06:00,211.07407407407408
Saturday,38,2022,07:00,319.0
Saturday,38,2022,08:00,496.0740740740741
Saturday,38,2022,09:00,701.2592592592592
Saturday,38,2022,10:00,864.7037037037037
Saturday,38,2022,11:00,923.0
Saturday,38,2022,12:00,1036.5555555555557
Saturday,38,2022,13:00,1091.4444444444443
Saturday,38,2022,14:00,1145.6666666666667
Saturday,38,2022,15:00,1127.3703703703704
Saturday,38,2022,16:00,1072.3333333333333
Saturday,38,2022,17:00,1052.2962962962963
Saturday,38,2022,18:00,888.2222222222222
Saturday,38,2022,19:00,755.1481481481482
Saturday,38,2022,20:00,702.074074074074
Saturday,38,2022,21:00,590.2222222222222
Saturday,38,2022,22:00,632.5555555555555
Saturday,38,2022,23:00,607.7777777777778
Saturday,38,2023,00:00,233.90322580645162
Saturday,38,2023,01:00,145.93548387096774
Saturday,38,2023,02:00,93.70967741935483
Saturday,38,2023,03:00,79.54838709677419
Saturday,38,2023,04:00,72.64516129032258
Saturday,38,2023,05:00,94.45161290322581
Saturday,38,2023,06:00,143.38709677419354
Saturday,38,2023,07:00,218.25806451612902
Saturday,38,2023,08:00,358.0967741935484
Saturday,38,2023,09:00,516.9354838709677
Saturday,38,2023,10:00,648.483870967742
Saturday,38,2023,11:00,699.3870967741935
Saturday,38,2023,12:00,707.3225806451613
Saturday,38,2023,13:00,758.2903225806451
Saturday,38,2023,14:00,750.516129032258
